BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,995000,5,2.0,2184.207862,544 Madison St,"Brooklyn, NY 11221","544 Madison StBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Madison Street,"544 Madison St, Brooklyn, NY 11221, USA",40.6862289,-73.9364224
Brokered by PAULEMA REALTY GROUP INC,Land for sale,2999950,3,2.3738608579684373,2184.207862,9115-9119 Bedell Ln,"Canarsie, NY 11236","9115-9119 Bedell LnCanarsie, NY 11236",United States,New York,Kings County,Brooklyn,Bedell Lane,"9115 Bedell Ln, Brooklyn, NY 11236, USA",40.6444117,-73.9100389
Brokered by COMPASS,Townhouse for sale,13995000,7,2.3738608579684373,9026.0,18 Prospect Park W,"Brooklyn, NY 11215","18 Prospect Park WBrooklyn, NY 11215",United States,New York,Kings County,Brooklyn,Prospect Park West,"18 Prospect Park W, Brooklyn, NY 11215, USA",40.6712528,-73.9716506
"Brokered by Landair Property Advisors, LLC",Land for sale,6100000,3,2.3738608579684373,2184.207862,1518 Pitkin Ave,"Brooklyn, NY 11212","1518 Pitkin AveBrooklyn, NY 11212",United States,New York,Kings County,Brooklyn,Pitkin Avenue,"1518 Pitkin Ave, Brooklyn, NY 11212, USA",40.6685186,-73.9175924
Brokered by NEW PROSPECTIVE REALTY INC,Land for sale,350000,3,2.3738608579684373,2184.207862,2532 Atlantic Ave,"Brooklyn, NY 11207","2532 Atlantic AveBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,Atlantic Avenue,"2532 Atlantic Ave, Brooklyn, NY 11207, USA",40.6753179,-73.9008593
Brokered by Real Estate Trade Co Inc,Land for sale,2500000,3,2.3738608579684373,2184.207862,238 Ocean View Ave,"Brooklyn, NY 11235","238 Ocean View AveBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Ocean View Avenue,"238 Ocean View Ave, Brooklyn, NY 11235, USA",40.578639,-73.965449
Brokered by Real Estate Top Sales Llc,Land for sale,350000,3,2.3738608579684373,2184.207862,8 Lake Ave,"Brooklyn, NY 11235","8 Lake AveBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Lake Avenue,"8 Lake Ave, Brooklyn, NY 11235, USA",40.5844107,-73.9380366
Brokered by ES Realty Eva Shammah LLC,Land for sale,3600000,3,2.3738608579684373,2184.207862,1348 E 7th St,"Brooklyn, NY 11230","1348 E 7th StBrooklyn, NY 11230",United States,New York,Kings County,Brooklyn,East 7th Street,"1348 E 7th St, Brooklyn, NY 11230, USA",40.6179636,-73.9681702
Brokered by Sowae Corp,House for sale,215000,4,2.0,2000.0,408 Van Siclen Ave,"Brooklyn, NY 11207","408 Van Siclen AveBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,Van Siclen Avenue,"408 Van Siclen Ave, Brooklyn, NY 11207, USA",40.6694978,-73.8897534
Brokered by 5 Boro Realty Corp,Land for sale,799999,3,2.3738608579684373,2184.207862,1905 Fulton St,"Bedford Stuyvesant, NY 11233","1905 Fulton StBedford Stuyvesant, NY 11233",United States,New York,Kings County,Brooklyn,Fulton Street,"1905 Fulton St, Brooklyn, NY 11233, USA",40.6789582,-73.9203193
Brokered by Soverign Homes Realty Inc,Land for sale,265000,3,2.3738608579684373,2184.207862,1698 E New York Ave,"Brooklyn, NY 11212","1698 E New York AveBrooklyn, NY 11212",United States,New York,Kings County,Brooklyn,East New York Avenue,"1698 E New York Ave, Brooklyn, NY 11212, USA",40.6743408,-73.9056237
Brokered by Crifasi Real Estate Inc,Land for sale,549000,3,2.3738608579684373,2184.207862,1385 Dekalb Ave,"Brooklyn, NY 11221","1385 Dekalb AveBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Dekalb Avenue,"1385 Dekalb Ave, Brooklyn, NY 11221, USA",40.699454,-73.924234
Brokered by CENTURY 21 Achievers,Land for sale,299000,3,2.3738608579684373,2184.207862,621 E 87th St,"Brooklyn, NY 11236","621 E 87th StBrooklyn, NY 11236",United States,New York,Kings County,Brooklyn,East 87th Street,"621 E 87th St, Brooklyn, NY 11236, USA",40.6415965,-73.9105958
Brokered by SUPERIOR REALTY SERVICE,House for sale,800000,3,2.0,1824.0,2660 Mill Ave,"Brooklyn, NY 11234","2660 Mill AveBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,Mill Avenue,"2660 Mill Ave, Brooklyn, NY 11234, USA",40.608799,-73.9128174
Brokered by GLASHEN REALTY GROUP INC,Pending,675000,3,2.3738608579684373,2184.207862,558 E 34th St,"Brooklyn, NY 11203","558 E 34th StBrooklyn, NY 11203",United States,New York,Kings County,Brooklyn,East 34th Street,"558 E 34th St, Brooklyn, NY 11203, USA",40.6428139,-73.9451438
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,799900,5,2.0,1750.0,2339 Brigham St,"Brooklyn, NY 11229","2339 Brigham StBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,Brigham Street,"2339 Brigham St, Brooklyn, NY 11229, USA",40.5956263,-73.933927
"Brokered by Compass Greater Ny, Llc",House for sale,799000,3,2.0,1881.0,431 E 32nd St,"Brooklyn, NY 11226","431 E 32nd StBrooklyn, NY 11226",United States,New York,Kings County,Brooklyn,East 32nd Street,"431 E 32nd St, Brooklyn, NY 11226, USA",40.6402886,-73.9463493
"Brokered by BEN BAY REALTY, CO.",House for sale,1188000,4,2.0,1580.0,1268 76th St,"Brooklyn, NY 11228","1268 76th StBrooklyn, NY 11228",United States,New York,Kings County,Brooklyn,76th Street,"1268 76th St, Brooklyn, NY 11228, USA",40.6198659,-74.0087151
Brokered by Unlimited Homes Realty Inc,House for sale,460000,3,3.0,2256.0,26 Durland Pl,"Brooklyn, NY 11236","26 Durland PlBrooklyn, NY 11236",United States,New York,Kings County,Brooklyn,Durland Place,"26 Durland Pl, Brooklyn, NY 11236, USA",40.641648,-73.9064568
Brokered by Stuyvesant Heights Realty Corp,Multi-family home for sale,825000,12,6.0,2184.207862,344 Ashford St,"Brooklyn, NY 11207","344 Ashford StBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,Ashford Street,"344 Ashford St, Brooklyn, NY 11230, USA",40.6739463,-73.885344
Brokered by Homelink Homes Llc,House for sale,799999,3,2.0,1344.0,2047 E 38th St,"Brooklyn, NY 11234","2047 E 38th StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,East 38th Street,"2047 E 38th St, Brooklyn, NY 11234, USA",40.6099147,-73.9287144
Brokered by IHome Realty Group LLC,Multi-family home for sale,1300000,15,6.0,4920.0,3015 Avenue D,"Brooklyn, NY 11226","3015 Avenue DBrooklyn, NY 11226",United States,New York,Kings County,Brooklyn,Avenue D,"3015 Avenue D, Brooklyn, NY 11226, USA",40.6411388,-73.9478417
Brokered by Sowae Corp,House for sale,250000,3,1.0,1376.0,4413 Avenue M,"Brooklyn, NY 11234","4413 Avenue MBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,Avenue M,"4413 Avenue M, Brooklyn, NY 11234, USA",40.6212165,-73.9324344
Brokered by Sowae Corp,House for sale,520000,4,2.0,1701.0,860 Herkimer St,"Brooklyn, NY 11233","860 Herkimer StBrooklyn, NY 11233",United States,New York,Kings County,Brooklyn,Herkimer Street,"860 Herkimer St, Brooklyn, NY 11233, USA",40.6781418,-73.9250576
Brokered by B Square Realty,Multi-family home for sale,849000,4,3.0,2184.207862,65 Grant Ave,"Brooklyn, NY 11208","65 Grant AveBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,Grant Avenue,"65 Grant Ave, Brooklyn, NY 11208, USA",40.6895034,-73.8684501
Brokered by TALK OF THE TOWN REALTY C,House for sale,699000,3,2.0,2350.0,2138 Coleman St,"Brooklyn, NY 11234","2138 Coleman StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,Coleman Street,"2138 Coleman St, Brooklyn, NY 11234, USA",40.6095856,-73.9253159
Brokered by Corcoran Brooklyn Heights,Pending,5895000,8,5.0,6312.0,219 Frost St,"Brooklyn, NY 11211","219 Frost StBrooklyn, NY 11211",United States,New York,Kings County,Brooklyn,Frost Street,"219 Frost St, Brooklyn, NY 11211, USA",40.7185648,-73.9422548
Brokered by Coldwell Banker Reliable Real Estate,Multi-family home for sale,1250000,7,4.0,2184.207862,346 50th St,"Brooklyn, NY 11220","346 50th StBrooklyn, NY 11220",United States,New York,Kings County,Brooklyn,50th Street,"346 50th St, Brooklyn, NY 11220, USA",40.6468782,-74.0136737
Brokered by Douglas Elliman - 156 Montague,Townhouse for sale,1499999,4,2.0,2264.0,3623 Avenue T,"Brooklyn, NY 11234","3623 Avenue TBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,Avenue T,"3623 Avenue T, Brooklyn, NY 11234, USA",40.6087059,-73.9290715
Brokered by Brownstone Real Estate LLC - Carroll Gardens,Multi-family home for sale,1488000,6,2.0,2184.207862,7302 11th Ave,"Brooklyn, NY 11228","7302 11th AveBrooklyn, NY 11228",United States,New York,Kings County,Brooklyn,11th Avenue,"7302 11th Ave, Brooklyn, NY 11228, USA",40.624169,-74.010925
Brokered by Liberty Chateau Realty Inc,House for sale,924900,3,2.0,1404.0,1559 W 4th St,"Brooklyn, NY 11204","1559 W 4th StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,West 4th Street,"1559 W 4th St, Brooklyn, NY 11204, USA",40.6094348,-73.9777343
Brokered by Century 21 Realty First,Multi-family home for sale,1998000,12,8.0,5100.0,4015 Atlantic Ave,"Brooklyn, NY 11224","4015 Atlantic AveBrooklyn, NY 11224",United States,New York,Kings County,Brooklyn,Atlantic Avenue,"4015 Atlantic Ave, Brooklyn, NY 11224, USA",40.5745179,-74.0068304
Brokered by Liberty Chateau Realty Inc,House for sale,314900,3,3.0,1200.0,595 Glenmore Ave,"Brooklyn, NY 11207","595 Glenmore AveBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,Glenmore Avenue,"595 Glenmore Ave, Brooklyn, NY 11207, USA",40.6744942,-73.8883757
Brokered by BHHS New York Properties,Townhouse for sale,2200000,6,3.0,2385.0,484 A 7th Ave,"Brooklyn, NY 11215","484 A 7th AveBrooklyn, NY 11215",United States,New York,Kings County,Brooklyn,7th Avenue,"484A 7th Ave, Brooklyn, NY 11215, USA",40.6621056,-73.9857576
"Brokered by Compass Greater New York, LLC",Multi-family home for sale,1188000,3,2.0,2240.0,1861 82nd St,"Brooklyn, NY 11214","1861 82nd StBrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,82nd Street,"1861 82nd St, Brooklyn, NY 11214, USA",40.6085532,-73.998257
