BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Gateway Arms Realty Corp.,Condo for sale,189000,1,1.0,730.0,20 Cliff St Apt 5B,"Staten Island, NY 10305","20 Cliff St Apt 5BStaten Island, NY 10305",New York,Richmond County,Staten Island,Shore Acres,20,"20 Cliff St #5b, Staten Island, NY 10305, USA",40.6109595,-74.060351
Brokered by RE MAX Real Estate Professionals,Co-op for sale,300000,2,1.0,900.0,350 Richmond Ter Apt 3C,"Staten Island, NY 10301","350 Richmond Ter Apt 3CStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,350,"350 Richmond Terrace #3c, Staten Island, NY 10301, USA",40.6479387,-74.0852701
Brokered by Liberty Chateau Realty Inc,Condo for sale,434900,3,2.0,1286.0,6 Greentree Ln Unit 6,"Staten Island, NY 10314","6 Greentree Ln Unit 6Staten Island, NY 10314",New York,Richmond County,Staten Island,Bulls Head,6,"6 Greentree Ln #6, Staten Island, NY 10314, USA",40.6085756,-74.1610387
Brokered by Precious Properties Corp.,Contingent,275000,2,1.0,900.0,177 3rd St Unit 1,"Staten Island, NY 10306","177 3rd St Unit 1Staten Island, NY 10306",New York,Richmond County,Staten Island,New Dorp,177,"177 3rd St #1, Staten Island, NY 10306, USA",40.5735927,-74.1200228
"Brokered by Robert Defalco Realty, Inc.",Condo for sale,109500,3,1.0,550.0,1000 Clove Rd Apt 9F,"Staten Island, NY 10301","1000 Clove Rd Apt 9FStaten Island, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,1000,"1000 Clove Rd #9f, Staten Island, NY 10301, USA",40.6202645,-74.1099106
Brokered by Ditommaso Real Estate,Co-op for sale,225000,2,1.0,789.0,1100 Clove Rd Apt 2D,"Brooklyn, NY 10301","1100 Clove Rd Apt 2DBrooklyn, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,1100,"1100 Clove Rd #2d, Staten Island, NY 10301, USA",40.6189484,-74.1071576
Brokered by Red Door Realty Group,Contingent,249999,1,1.0,750.0,3747 Amboy Rd Apt 2A,"Staten Island, NY 10308","3747 Amboy Rd Apt 2AStaten Island, NY 10308",New York,Richmond County,Staten Island,Great Kills,3747,"3747 Amboy Rd #2a, Staten Island, NY 10308, USA",40.5523555,-74.1450647
Brokered by Cross Country Realty,Condo for sale,410000,2,1.0,2184.207862,85 Elmwood Park Dr Apt 60,"Staten Island, NY 10314","85 Elmwood Park Dr Apt 60Staten Island, NY 10314",New York,Richmond County,Staten Island,New Springville,85,"85 Elmwood Park Dr APT 60, Staten Island, NY 10314, USA",40.5800127,-74.1614787
Brokered by Ditommaso Real Estate,Condo for sale,479000,2,2.0,1008.0,57 Stone Ln Unit 2,"Staten Island, NY 10314","57 Stone Ln Unit 2Staten Island, NY 10314",New York,Richmond County,Staten Island,New Springville,57,"57 Stone Ln #2, Staten Island, NY 10314, USA",40.5782884,-74.1583011
Brokered by R New York,Co-op for sale,439000,1,1.0,950.0,10 Bay Street Lndg Apt 5E,"Staten Island, NY 10301","10 Bay Street Lndg Apt 5EStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,10,"10 Bay Street Landing #5e, Staten Island, NY 10301, USA",40.638118,-74.073964
Brokered by Robert Defalco Realty Inc.,Condo for sale,238000,1,1.0,650.0,20 Cliff St Apt 8F,"Staten Island, NY 10305","20 Cliff St Apt 8FStaten Island, NY 10305",New York,Richmond County,Staten Island,Shore Acres,20,"20 Cliff St #8f, Staten Island, NY 10305, USA",40.6109595,-74.060351
"Brokered by Neuhaus Realty, Inc.",Multi-family home for sale,1799000,3,1.0,5400.0,2401-2407 Richmond Rd Unit A,"Staten Island, NY 10306","2401-2407 Richmond Rd Unit AStaten Island, NY 10306",New York,Richmond County,Staten Island,New Dorp,2401,"2401 Richmond Rd #2407, Staten Island, NY 10306, USA",40.5767317,-74.1187369
"Brokered by Tom Crimmins Realty, Ltd.",Condo for sale,399900,2,2.0,853.0,120 Wellington Ct Apt 1B,"Staten Island, NY 10314","120 Wellington Ct Apt 1BStaten Island, NY 10314",New York,Richmond County,Staten Island,New Springville,120,"120 Wellington Ct #1b, Staten Island, NY 10314, USA",40.5803785,-74.1578058
Brokered by JM Properties,Condo for sale,255500,1,1.0,950.0,422 Maryland Ave Apt 3D,"Staten Island, NY 10305","422 Maryland Ave Apt 3DStaten Island, NY 10305",New York,Richmond County,Staten Island,Rosebank,422,"422 Maryland Ave #3b, Staten Island, NY 10305, USA",40.6077498,-74.0743086
Brokered by RE MAX Edge,Condo for sale,455000,2,1.0,939.0,449 Medina St Apt 2C,"Staten Island, NY 10306","449 Medina St Apt 2CStaten Island, NY 10306",New York,Richmond County,Staten Island,Oakwood,449,"449 Medina St #2c, Staten Island, NY 10306, USA",40.5599528,-74.1198255
Brokered by Mark Murphy Properties,Condo for sale,378888,1,1.0,718.0,966 Clove Rd Unit H1,"Staten Island, NY 10301","966 Clove Rd Unit H1Staten Island, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,966,"966 Clove Rd H1, Staten Island, NY 10301, USA",40.6204781,-74.1109257
"Brokered by Robert Defalco Realty, Inc.",Contingent,379000,4,1.0,1200.0,20 Bay St Lndg Unit 3J,"Staten Island, NY 10301","20 Bay St Lndg Unit 3JStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,20,"20 Bay Street Landing #3j, Staten Island, NY 10301, USA",40.6384907,-74.0740254
Brokered by Robert Defalco Realty Inc.,Townhouse for sale,549999,3,2.0,1677.0,339 Union Ave Unit 41,"Staten Island, NY 10303","339 Union Ave Unit 41Staten Island, NY 10303",New York,Richmond County,Staten Island,Mariners Harbor,339,"339 Union Ave #41, Staten Island, NY 10303, USA",40.6280768,-74.1576108
Brokered by RE MAX Edge,Condo for sale,540000,3,2.0,2184.207862,172 Greenleaf Ave Unit 2B,"Staten Island, NY 10310","172 Greenleaf Ave Unit 2BStaten Island, NY 10310",New York,Richmond County,Staten Island,Castleton Corners,172,"172 Greenleaf Ave #2b, Staten Island, NY 10310, USA",40.6261372,-74.1267716
Brokered by Ben Bay Realty Company of Staten Island LLC,Condo for sale,450000,1,1.0,776.0,90 Bay Street Lndg Apt 7H,"Staten Island, NY 10301","90 Bay Street Lndg Apt 7HStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,90,"90 Bay Street Landing #7h, Staten Island, NY 10301, USA",40.6403656,-74.0737574
Brokered by Better Homes and Gardens Real Estate Safari Realty,Contingent,349000,3,2.0,1180.0,8 Ada Dr Unit 47,"Staten Island, NY 10314","8 Ada Dr Unit 47Staten Island, NY 10314",New York,Richmond County,Staten Island,Mid Island,8,"8 Ada Dr # 47, Staten Island, NY 10314, USA",40.6195692,-74.1550985
Brokered by Your Home Sold Guaranteed Realty Advisor LLC,Condo for sale,164999,3,1.0,400.0,36 Hamilton Ave Apt 5B,"Staten Island, NY 10301","36 Hamilton Ave Apt 5BStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,36,"36 Hamilton Ave #5b, Staten Island, NY 10301, USA",40.6449121,-74.0787385
Brokered by Coldwell Banker Advantage,Contingent,299998,2,1.0,1200.0,412 Maryland Ave Apt 3A,"Staten Island, NY 10305","412 Maryland Ave Apt 3AStaten Island, NY 10305",New York,Richmond County,Staten Island,Rosebank,412,"412 Maryland Ave #3a, Staten Island, NY 10305, USA",40.608288,-74.07426
Brokered by Holly's Staten Island Buzz Realty Inc.,Condo for sale,1338000,3,2.0,2082.0,90 Bay Street Lndg Apt 8G,"Staten Island, NY 10301","90 Bay Street Lndg Apt 8GStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,90,"90 Bay Street Landing #8g, Staten Island, NY 10301, USA",40.6403656,-74.0737574
"Brokered by Homes R Us Realty of NY, Inc.",Contingent,339000,1,1.0,693.0,4219 Amboy Rd Unit 4A,"Staten Island, NY 10308","4219 Amboy Rd Unit 4AStaten Island, NY 10308",New York,Richmond County,Staten Island,Great Kills,4219,"4219 Amboy Rd #4a, Staten Island, NY 10308, USA",40.5475295,-74.1568654
"Brokered by Tom Crimmins Realty, Ltd.",Condo for sale,239500,1,1.0,864.0,50 Fort Pl Unit 2G,"Staten Island, NY 10301","50 Fort Pl Unit 2GStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,50,"50 Fort Pl #2, Staten Island, NY 10301, USA",40.6414367,-74.0802253
Brokered by Keller Williams NYC,Condo for sale,350000,1,1.0,738.0,11 Windham Loop Apt 2GG,"Staten Island, NY 10314","11 Windham Loop Apt 2GGStaten Island, NY 10314",New York,Richmond County,Staten Island,New Springville,11,"11 Windham Loop #2g, Staten Island, NY 10314, USA",40.5781826,-74.1626869
Brokered by HomeLister,Contingent,193999,3,1.0,435.0,16 Bay Ter Apt 2E,"Staten Island, NY 10306","16 Bay Ter Apt 2EStaten Island, NY 10306",New York,Richmond County,Staten Island,Bay Terrace,16,"16 Bay Terrace #2e, Staten Island, NY 10306, USA",40.5559755,-74.1387681
Brokered by Wonica REALTORS & Appraisers,Condo for sale,593000,2,2.0,1312.0,31 Hylan Blvd Apt 2B,"Staten Island, NY 10305","31 Hylan Blvd Apt 2BStaten Island, NY 10305",New York,Richmond County,Staten Island,Rosebank,31,"31 Hylan Blvd #2b, Staten Island, NY 10305, USA",40.6151849,-74.0646359
Brokered by Jason Mitchell Real Estate New York,Contingent,350000,3,2.0,1137.0,145 Lincoln Ave Apt 3J,"Staten Island, NY 10306","145 Lincoln Ave Apt 3JStaten Island, NY 10306",New York,Richmond County,Staten Island,Midland Beach,145,"145 Lincoln Ave #3j, Staten Island, NY 10306, USA",40.579062,-74.1076165
Brokered by Jason Mitchell Real Estate New York,Contingent,350000,3,2.0,1137.0,145 Lincoln Ave Apt 3J,"Staten Island, NY 10306","145 Lincoln Ave Apt 3JStaten Island, NY 10306",New York,Richmond County,Staten Island,Midland Beach,145,"145 Lincoln Ave #3j, Staten Island, NY 10306, USA",40.579062,-74.1076165
Brokered by Serhant,Co-op for sale,375000,1,1.0,1185.0,10 Bay Street Lndg Apt 1I,"Staten Island, NY 10301","10 Bay Street Lndg Apt 1IStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,10,"10 Bay Street Landing #1a, Staten Island, NY 10301, USA",40.638118,-74.073964
Brokered by Matias Real Estate,Condo for sale,674999,3,1.0,1299.0,90 Bay Street Lndg Apt 6K,"Staten Island, NY 10301","90 Bay Street Lndg Apt 6KStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,90,"90 Bay Street Landing #6k, Staten Island, NY 10301, USA",40.6403656,-74.0737574
"Brokered by NEUHAUS REALTY, INC.",Condo for sale,420000,2,1.0,840.0,1286 Rockland Ave Unit 2HH,"Staten Island, NY 10314","1286 Rockland Ave Unit 2HHStaten Island, NY 10314",New York,Richmond County,Staten Island,New Springville,1286,"1286 Rockland Ave #2h, Staten Island, NY 10314, USA",40.5945609,-74.1596635
Brokered by Keller Williams Realty Central Monmouth,Condo for sale,330000,1,1.0,726.0,215 Hart Blvd Apt 2B,"Staten Island, NY 10301","215 Hart Blvd Apt 2BStaten Island, NY 10301",New York,Richmond County,Staten Island,West Brighton,215,"215 Hart Blvd #2b, Staten Island, NY 10301, USA",40.6299335,-74.0999243
Brokered by Continental Real Estate Group,Condo for sale,899000,2,2.0,1697.0,90 Bay Street Lndg Apt 5I,"Staten Island, NY 10301","90 Bay Street Lndg Apt 5IStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,90,"90 Bay Street Landing #5a, Staten Island, NY 10301, USA",40.6403656,-74.0737574
Brokered by R New York,Contingent,375000,1,1.0,900.0,10 Bay Street Lndg Apt 1G,"Staten Island, NY 10301","10 Bay Street Lndg Apt 1GStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,10,"10 Bay Street Landing #1b, Staten Island, NY 10301, USA",40.638118,-74.073964
Brokered by Modern Spaces Love Your Place,Pending,325000,2,1.0,2184.207862,36 Hamilton Ave Apt 6K,"Staten Island, NY 10301","36 Hamilton Ave Apt 6KStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,36,"36 Hamilton Ave #6b, Staten Island, NY 10301, USA",40.6449121,-74.0787385
Brokered by Gateway Arms Realty Corp.,Condo for sale,560000,2,2.0,1008.0,155 Bay St Apt 4F,"Staten Island, NY 10301","155 Bay St Apt 4FStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,155,"155 Bay St #4f, Staten Island, NY 10301, USA",40.638148,-74.0756332
Brokered by DiTommaso Real Estate,Condo for sale,285000,1,1.0,613.0,20 Cliff St Apt 5H,"Staten Island, NY 10305","20 Cliff St Apt 5HStaten Island, NY 10305",New York,Richmond County,Staten Island,Shore Acres,20,"20 Cliff St #5b, Staten Island, NY 10305, USA",40.6109595,-74.060351
"Brokered by Robert DeFalco Realty, Inc.",Condo for sale,249999,1,1.0,596.0,215 Hart Blvd Apt 3J,"Staten Island, NY 10301","215 Hart Blvd Apt 3JStaten Island, NY 10301",New York,Richmond County,Staten Island,West Brighton,215,"215 Hart Blvd #3j, Staten Island, NY 10301, USA",40.6299335,-74.0999243
"Brokered by Neuhaus Realty, Inc.",Contingent,225000,1,1.0,650.0,17 Seth Ct Unit B,"Staten Island, NY 10301","17 Seth Ct Unit BStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,17,"17 Seth Ct # B, Staten Island, NY 10301, USA",40.6185653,-74.0948312
"Brokered by Tom Crimmins Realty, Ltd.",Condo for sale,209000,1,1.0,650.0,1000 Clove Rd Apt 5D,"Staten Island, NY 10301","1000 Clove Rd Apt 5DStaten Island, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,1000,"1000 Clove Rd #5b, Staten Island, NY 10301, USA",40.6202645,-74.1099106
"Brokered by Tom Crimmins Realty, Ltd.",Condo for sale,245000,1,1.0,800.0,1100 Clove Rd Apt 7B,"Staten Island, NY 10301","1100 Clove Rd Apt 7BStaten Island, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,1100,"1100 Clove Rd #7b, Staten Island, NY 10301, USA",40.6189484,-74.1071576
Brokered by Robert Defalco Realty Inc.,Condo for sale,342990,2,1.0,900.0,1000 Clove Rd Apt 8C,"Staten Island, NY 10301","1000 Clove Rd Apt 8CStaten Island, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,1000,"1000 Clove Rd #8c, Staten Island, NY 10301, USA",40.6202645,-74.1099106
Brokered by Douglas Elliman - 325 Court,Pending,549999,3,2.3738608579684373,1652.0,30 Stonegate Dr Unit 1,"Staten Island, NY 10304","30 Stonegate Dr Unit 1Staten Island, NY 10304",New York,Richmond County,Staten Island,Todt Hill,30,"30 Stonegate Dr #1, Staten Island, NY 10304, USA",40.6016923,-74.0869707
"Brokered by Tom Crimmins Realty, Ltd.",Condo for sale,240000,1,1.0,800.0,1100 Clove Rd Apt 2K,"Staten Island, NY 10301","1100 Clove Rd Apt 2KStaten Island, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,1100,"1100 Clove Rd #2c, Staten Island, NY 10301, USA",40.6189484,-74.1071576
Brokered by RE/MAX Elite,Condo for sale,385000,2,1.0,910.0,100 Colfax Ave Apt 3V,"Staten Island, NY 10306","100 Colfax Ave Apt 3VStaten Island, NY 10306",New York,Richmond County,Staten Island,Midland Beach,100,"100 Colfax Ave APT 3H, Staten Island, NY 10306, USA",40.5795495,-74.1077209
Brokered by Momentum Real Estate Llc,Condo for sale,389990,2,1.0,886.0,100 Colfax Ave Apt 7U,"Staten Island, NY 10306","100 Colfax Ave Apt 7UStaten Island, NY 10306",New York,Richmond County,Staten Island,Midland Beach,100,"100 Colfax Ave #7u, Staten Island, NY 10306, USA",40.5795138,-74.1075247
