TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,BOROUGH
House for sale,588000,3,1,1080,Brooklyn
House for sale,929000,3,2,1309,Brooklyn
House for sale,1389000,7,2,2184,Brooklyn
Townhouse for sale,2395000,5,2,2560,Brooklyn
House for sale,1525000,3,2,2572,Brooklyn
Townhouse for sale,1099999,4,2,1874,Brooklyn
Townhouse for sale,869000,3,2,2184,Brooklyn
Pending,1299000,4,2,2080,Brooklyn
Townhouse for sale,4950000,4,2,3800,Brooklyn
Multi-family home for sale,1500000,3,2,2000,Brooklyn
Multi-family home for sale,1325000,5,2,2208,Brooklyn
House for sale,1980000,5,2,2652,Brooklyn
Multi-family home for sale,1299000,5,2,2184,Brooklyn
Multi-family home for sale,4295000,9,11,6270,Brooklyn
Townhouse for sale,1335000,3,2,2184,Brooklyn
Condo for sale,408000,1,1,787,Brooklyn
House for sale,594900,3,2,1224,Brooklyn
Multi-family home for sale,1399888,7,4,3682,Brooklyn
Townhouse for sale,1288000,3,2,2184,Brooklyn
House for sale,2700000,5,2,2690,Brooklyn
Multi-family home for sale,3975000,4,4,3181,Brooklyn
Pending,1999000,3,4,2840,Brooklyn
Multi-family home for sale,1599000,5,3,2424,Brooklyn
Townhouse for sale,3200000,4,4,3200,Brooklyn
House for sale,619999,3,2,2184,Brooklyn
House for sale,485000,2,1,560,Brooklyn
House for sale,859000,3,2,2184,Brooklyn
House for sale,1100000,3,2,2184,Brooklyn
Condo for sale,2750000,3,3,2782,Brooklyn
House for sale,1750000,4,3,3225,Brooklyn
Multi-family home for sale,850000,5,3,2184,Brooklyn
House for sale,1328888,3,2,1440,Brooklyn
Autre_Type,3399000,6,4,5000,Brooklyn
Multi-family home for sale,850000,3,3,2646,Brooklyn
House for sale,1190000,3,2,1360,Brooklyn
Townhouse for sale,3995000,4,4,3412,Brooklyn
House for sale,2235000,3,4,2750,Brooklyn
Condo for sale,1999999,3,2,1865,Brooklyn
House for sale,919000,6,3,5400,Brooklyn
Multi-family home for sale,1249000,5,2,2184,Brooklyn
Townhouse for sale,3800000,6,4,3340,Brooklyn
House for sale,2400000,4,4,3424,Brooklyn
House for sale,920000,5,4,2184,Brooklyn
House for sale,995000,2,2,800,Brooklyn
House for sale,995000,2,2,800,Brooklyn
House for sale,660000,3,2,2184,Brooklyn
House for sale,1149000,4,3,1800,Brooklyn
Townhouse for sale,1995000,4,4,2184,Brooklyn
Pending,1390000,5,4,1992,Brooklyn
Co-op for sale,429000,2,1,850,Brooklyn
House for sale,699000,3,3,2835,Brooklyn
House for sale,1190000,4,2,1500,Brooklyn
House for sale,649000,3,2,1257,Brooklyn
House for sale,699000,3,3,2835,Brooklyn
House for sale,2759000,6,6,2184,Brooklyn
House for sale,2599000,4,3,3510,Brooklyn
Townhouse for sale,1195000,4,2,2625,Brooklyn
House for sale,1288000,3,2,1188,Brooklyn
Multi-family home for sale,1275000,5,3,1920,Brooklyn
Townhouse for sale,4395000,5,4,2184,Brooklyn
Multi-family home for sale,949000,4,2,1600,Brooklyn
Multi-family home for sale,3165000,9,5,2184,Brooklyn
House for sale,2199000,3,3,3454,Brooklyn
House for sale,1449999,3,2,1890,Brooklyn
House for sale,1299000,3,2,1700,Brooklyn
House for sale,925000,2,2,1077,Brooklyn
House for sale,948888,3,1,950,Brooklyn
Townhouse for sale,2495000,3,2,4125,Brooklyn
Pending,1039000,3,2,2300,Brooklyn
House for sale,380000,3,2,600,Brooklyn
Condo for sale,1449000,4,2,1632,Brooklyn
Pending,995000,5,2,2128,Brooklyn
Condo for sale,500000,1,2,2184,Brooklyn
Multi-family home for sale,1260000,7,2,2000,Brooklyn
Multi-family home for sale,1695000,4,2,2184,Brooklyn
Co-op for sale,345000,2,1,1000,Brooklyn
Multi-family home for sale,3099000,36,16,12460,Brooklyn
Condo for sale,2799000,3,3,2350,Brooklyn
House for sale,1690000,3,2,1536,Brooklyn
Pending,199999,9,3,2184,Brooklyn
Multi-family home for sale,899000,4,3,1892,Brooklyn
Multi-family home for sale,1299000,10,6,4500,Brooklyn
Multi-family home for sale,499000,3,3,2184,Brooklyn
Townhouse for sale,1979000,5,2,3150,Brooklyn
Multi-family home for sale,1250000,6,4,2184,Brooklyn
House for sale,695000,3,2,1926,Brooklyn
Pending,2100000,3,2,1902,Brooklyn
House for sale,759000,3,2,1260,Brooklyn
Multi-family home for sale,2300000,8,6,4000,Brooklyn
Multi-family home for sale,1880000,5,2,1850,Brooklyn
House for sale,1295000,8,3,3050,Brooklyn
Multi-family home for sale,949000,5,4,2184,Brooklyn
House for sale,848000,3,3,1080,Brooklyn
Multi-family home for sale,795000,3,2,1725,Brooklyn
Condo for sale,1350000,2,1,2184,Brooklyn
House for sale,1650000,3,4,2272,Brooklyn
House for sale,699000,3,2,2184,Brooklyn
House for sale,2399000,5,5,2184,Brooklyn
House for sale,1190000,3,2,1088,Brooklyn
Townhouse for sale,795000,5,2,2184,Brooklyn
Multi-family home for sale,750000,3,4,2184,Brooklyn
Townhouse for sale,795000,5,2,2184,Brooklyn
Multi-family home for sale,750000,3,4,2184,Brooklyn
House for sale,2488000,4,2,3850,Brooklyn
Multi-family home for sale,1138000,5,3,1026,Brooklyn
Multi-family home for sale,1359000,11,6,2240,Brooklyn
Multi-family home for sale,974998,7,2,2184,Brooklyn
House for sale,800000,3,2,2184,Brooklyn
House for sale,1500000,3,2,1240,Brooklyn
House for sale,625000,4,2,2184,Brooklyn
Multi-family home for sale,749900,5,2,1400,Brooklyn
Multi-family home for sale,888000,5,3,2980,Brooklyn
Pending,4500000,1,2,5400,Brooklyn
Multi-family home for sale,3250000,6,4,3059,Brooklyn
House for sale,1699900,7,5,2418,Brooklyn
Pending,3250000,8,5,2184,Brooklyn
Condo for sale,780000,2,2,825,Brooklyn
Multi-family home for sale,2798000,5,3,3400,Brooklyn
Multi-family home for sale,1389000,5,2,2412,Brooklyn
Multi-family home for sale,1850000,3,4,2184,Brooklyn
Co-op for sale,2250000,3,2,2000,Brooklyn
House for sale,1649000,4,3,1452,Brooklyn
House for sale,1450000,4,4,1746,Brooklyn
House for sale,589000,3,2,1120,Brooklyn
Pending,2800000,5,4,3400,Brooklyn
House for sale,2500000,3,2,2184,Brooklyn
Condo for sale,713000,2,2,1040,Brooklyn
Multi-family home for sale,2500000,12,2,4140,Brooklyn
Multi-family home for sale,1250000,7,3,1800,Brooklyn
Multi-family home for sale,998500,3,2,2184,Brooklyn
Multi-family home for sale,2449000,3,2,3000,Brooklyn
Townhouse for sale,950000,2,1,1800,Brooklyn
Townhouse for sale,6995000,4,5,4187,Brooklyn
House for sale,1699000,5,3,2488,Brooklyn
House for sale,1649000,8,3,2184,Brooklyn
Townhouse for sale,998000,6,2,2236,Brooklyn
House for sale,1099000,7,3,2322,Brooklyn
Townhouse for sale,4195000,5,4,2184,Brooklyn
Condo for sale,875000,2,1,922,Brooklyn
Co-op for sale,297000,1,1,2184,Brooklyn
Pending,485000,3,2,1200,Brooklyn
Pending,709000,3,3,2184,Brooklyn
Multi-family home for sale,779000,3,2,1540,Brooklyn
House for sale,739000,2,2,1473,Brooklyn
Condo for sale,1695000,1,2,1072,Brooklyn
House for sale,690000,2,2,1500,Brooklyn
House for sale,1499000,5,2,2088,Brooklyn
House for sale,2500000,8,4,6425,Brooklyn
House for sale,1149000,3,2,1660,Brooklyn
Pending,5250000,4,4,2184,Brooklyn
Multi-family home for sale,6999000,6,3,2184,Brooklyn
House for sale,750000,3,2,1868,Brooklyn
House for sale,1150000,3,2,1280,Brooklyn
Pending,1200000,3,2,3280,Brooklyn
Multi-family home for sale,1100000,7,2,1040,Brooklyn
Condo for sale,1250000,2,2,1057,Brooklyn
Multi-family home for sale,949000,5,3,2184,Brooklyn
Multi-family home for sale,799000,4,2,1716,Brooklyn
House for sale,699000,3,3,1280,Brooklyn
House for sale,1525000,3,2,1650,Brooklyn
Multi-family home for sale,2100000,6,2,2720,Brooklyn
Multi-family home for sale,906300,8,4,3116,Brooklyn
Townhouse for sale,1399000,4,2,1700,Brooklyn
Multi-family home for sale,1995000,9,3,3600,Brooklyn
Multi-family home for sale,1250000,5,2,2376,Brooklyn
Multi-family home for sale,3195000,4,4,3612,Brooklyn
Multi-family home for sale,599999,4,2,2184,Brooklyn
Multi-family home for sale,1139000,3,3,2520,Brooklyn
House for sale,680000,3,2,1296,Brooklyn
Multi-family home for sale,1139000,3,3,2520,Brooklyn
Pending,2500000,5,4,4400,Brooklyn
Multi-family home for sale,1479000,7,2,4200,Brooklyn
Pending,559900,5,2,1886,Brooklyn
Multi-family home for sale,5995000,8,6,6500,Brooklyn
Townhouse for sale,1775000,4,4,2078,Brooklyn
Condo for sale,375000,3,1,2184,Brooklyn
Multi-family home for sale,1400000,5,4,2184,Brooklyn
House for sale,649000,3,2,1188,Brooklyn
Multi-family home for sale,2288000,6,4,3280,Brooklyn
House for sale,1175000,3,2,1240,Brooklyn
Contingent,2499000,7,4,2268,Brooklyn
House for sale,850000,2,2,1122,Brooklyn
Townhouse for sale,1450000,6,4,2800,Brooklyn
House for sale,589000,3,2,1320,Brooklyn
Townhouse for sale,399985,2,1,1148,Brooklyn
Multi-family home for sale,1550000,7,3,2024,Brooklyn
Townhouse for sale,1900000,4,4,2184,Brooklyn
Co-op for sale,399000,3,2,2184,Brooklyn
Multi-family home for sale,1170000,5,4,3120,Brooklyn
Multi-family home for sale,1099000,6,5,2184,Brooklyn
Pending,250000,1,1,2184,Brooklyn
Townhouse for sale,1200000,3,2,2184,Brooklyn
Multi-family home for sale,999999,8,2,3023,Brooklyn
Pending,1600000,6,2,2128,Brooklyn
House for sale,799000,3,2,1000,Brooklyn
Multi-family home for sale,1699000,6,2,2184,Brooklyn
Pending,1995000,2,2,2184,Brooklyn
Condo for sale,1199999,2,2,1197,Brooklyn
House for sale,580880,4,2,1504,Brooklyn
House for sale,729000,3,2,1854,Brooklyn
House for sale,875000,2,1,1050,Brooklyn
House for sale,1295000,3,2,2184,Brooklyn
Multi-family home for sale,1499000,3,2,3090,Brooklyn
House for sale,549000,2,2,1148,Brooklyn
Multi-family home for sale,1149000,2,2,1472,Brooklyn
Multi-family home for sale,699000,3,2,2184,Brooklyn
Multi-family home for sale,1995000,3,4,2184,Brooklyn
Contingent,990000,11,9,6240,Brooklyn
House for sale,998000,3,2,1232,Brooklyn
Multi-family home for sale,1650000,3,3,1472,Brooklyn
Townhouse for sale,1450000,4,3,2128,Brooklyn
Multi-family home for sale,2925000,3,4,5170,Brooklyn
House for sale,1888000,3,3,4100,Brooklyn
Townhouse for sale,2560000,13,4,2184,Brooklyn
House for sale,750000,4,3,1806,Brooklyn
Contingent,750000,6,2,1476,Brooklyn
House for sale,2888888,5,4,5000,Brooklyn
House for sale,849999,4,2,1842,Brooklyn
House for sale,999000,7,4,2000,Brooklyn
Condo for sale,538000,2,1,1105,Brooklyn
Townhouse for sale,2545000,6,2,3277,Brooklyn
Townhouse for sale,2545000,6,2,3277,Brooklyn
House for sale,999000,4,1,2184,Brooklyn
Pending,1099000,3,2,1472,Brooklyn
Multi-family home for sale,1085000,3,8,3480,Brooklyn
Pending,799000,2,2,850,Brooklyn
House for sale,599999,3,2,2184,Brooklyn
House for sale,875000,4,2,1600,Brooklyn
Townhouse for sale,4000000,6,4,5854,Brooklyn
Townhouse for sale,699000,4,2,2184,Brooklyn
House for sale,2195000,3,4,2184,Brooklyn
Multi-family home for sale,1699999,4,3,2160,Brooklyn
Multi-family home for sale,1350000,6,2,2184,Brooklyn
House for sale,735000,3,2,1600,Brooklyn
House for sale,1499000,3,2,2100,Brooklyn
House for sale,735000,3,2,1600,Brooklyn
Townhouse for sale,1999000,5,2,3100,Brooklyn
House for sale,2999000,4,2,1732,Brooklyn
Multi-family home for sale,1900000,6,4,2000,Brooklyn
Multi-family home for sale,1795000,5,3,1800,Brooklyn
Pending,1649000,7,2,3162,Brooklyn
Multi-family home for sale,1800000,5,2,2184,Brooklyn
House for sale,790000,4,2,1744,Brooklyn
House for sale,1300000,3,2,2184,Brooklyn
House for sale,699000,3,2,522,Brooklyn
House for sale,790000,4,2,1744,Brooklyn
Multi-family home for sale,988888,5,3,2184,Brooklyn
Multi-family home for sale,2850000,15,7,6000,Brooklyn
Multi-family home for sale,1895000,5,4,2184,Brooklyn
Multi-family home for sale,1895000,5,4,2184,Brooklyn
Multi-family home for sale,3500000,30,20,18400,Brooklyn
Multi-family home for sale,2499000,7,4,2184,Brooklyn
Multi-family home for sale,1850000,7,3,2240,Brooklyn
House for sale,9000000,3,2,2184,Brooklyn
Multi-family home for sale,2050000,4,2,1760,Brooklyn
Multi-family home for sale,1980000,3,3,3536,Brooklyn
House for sale,285000,3,2,2184,Brooklyn
House for sale,285000,3,2,2184,Brooklyn
Multi-family home for sale,1399000,4,4,2049,Brooklyn
Townhouse for sale,4400000,3,2,2400,Brooklyn
Multi-family home for sale,2749000,3,6,4480,Brooklyn
Townhouse for sale,860000,3,2,2000,Brooklyn
Townhouse for sale,860000,3,2,2000,Brooklyn
House for sale,2795000,6,6,3600,Brooklyn
Multi-family home for sale,2099000,3,6,3520,Brooklyn
Multi-family home for sale,1398000,9,6,4440,Brooklyn
Co-op for sale,230000,1,1,2184,Brooklyn
Multi-family home for sale,1499999,8,6,2184,Brooklyn
Multi-family home for sale,699000,2,3,2184,Brooklyn
Multi-family home for sale,1595000,9,6,4420,Brooklyn
Multi-family home for sale,1495000,3,6,5148,Brooklyn
Multi-family home for sale,2375000,4,4,2184,Brooklyn
Multi-family home for sale,1499999,8,6,2184,Brooklyn
Multi-family home for sale,1849000,6,3,3001,Brooklyn
Multi-family home for sale,1399000,8,6,3448,Brooklyn
Condo for sale,1750000,6,3,3364,Brooklyn
Multi-family home for sale,2100000,3,3,2000,Brooklyn
Contingent,2400000,3,2,3248,Brooklyn
Multi-family home for sale,1850000,12,7,4719,Brooklyn
Multi-family home for sale,1075000,7,3,2184,Brooklyn
House for sale,1175000,3,2,2184,Brooklyn
House for sale,899000,2,2,1056,Brooklyn
House for sale,1175000,3,2,2184,Brooklyn
House for sale,1250000,3,2,2049,Brooklyn
House for sale,1699000,3,2,2200,Brooklyn
Multi-family home for sale,950000,5,2,1660,Brooklyn
Townhouse for sale,999000,7,4,2184,Brooklyn
Multi-family home for sale,1799000,11,6,5031,Brooklyn
House for sale,1175000,3,2,2184,Brooklyn
House for sale,749999,3,2,2184,Brooklyn
Contingent,850000,8,3,1976,Brooklyn
Townhouse for sale,2950000,4,4,2184,Brooklyn
House for sale,2570000,5,2,2000,Brooklyn
House for sale,875000,5,2,1974,Brooklyn
Multi-family home for sale,1299999,12,6,4125,Brooklyn
House for sale,3850000,4,4,4374,Brooklyn
Townhouse for sale,999000,4,2,2184,Brooklyn
Multi-family home for sale,2499000,7,8,3700,Brooklyn
Multi-family home for sale,2499000,7,8,3700,Brooklyn
Multi-family home for sale,5975000,12,4,2184,Brooklyn
House for sale,1175000,3,2,2184,Brooklyn
Multi-family home for sale,3299000,5,3,2184,Brooklyn
House for sale,799000,3,2,2184,Brooklyn
Multi-family home for sale,1560000,5,2,2184,Brooklyn
Multi-family home for sale,2700000,16,8,8000,Brooklyn
House for sale,1049000,3,1,1683,Brooklyn
Multi-family home for sale,928000,3,4,1640,Brooklyn
House for sale,1439000,4,2,2184,Brooklyn
Co-op for sale,475000,2,1,975,Brooklyn
Multi-family home for sale,789000,4,2,2184,Brooklyn
Multi-family home for sale,4800000,5,6,2184,Brooklyn
Multi-family home for sale,1325000,9,3,2184,Brooklyn
Townhouse for sale,1675000,5,2,2100,Brooklyn
Autre_Type,675000,3,2,2184,Brooklyn
Pending,4650000,6,2,4734,Brooklyn
House for sale,749000,3,2,1400,Brooklyn
Townhouse for sale,2250000,4,2,1360,Brooklyn
Townhouse for sale,3460000,2,2,2484,Brooklyn
Townhouse for sale,2850000,4,2,1725,Brooklyn
Multi-family home for sale,2250000,10,2,5200,Brooklyn
Multi-family home for sale,1150000,6,3,2400,Brooklyn
House for sale,599999,3,2,1340,Brooklyn
House for sale,1588000,5,2,2580,Brooklyn
Townhouse for sale,3200000,7,4,2976,Brooklyn
Multi-family home for sale,1108900,6,2,2664,Brooklyn
Multi-family home for sale,3200000,3,4,3040,Brooklyn
Townhouse for sale,2050000,12,8,8049,Brooklyn
Multi-family home for sale,1998000,19,8,5890,Brooklyn
Townhouse for sale,1499000,6,4,2184,Brooklyn
Townhouse for sale,2550000,8,4,3900,Brooklyn
Condo for sale,1395000,2,2,1003,Brooklyn
Townhouse for sale,2980000,6,3,3210,Brooklyn
Multi-family home for sale,589000,3,2,1560,Brooklyn
Multi-family home for sale,4500000,3,5,4725,Brooklyn
House for sale,775000,4,3,2184,Brooklyn
Multi-family home for sale,2375000,9,5,4164,Brooklyn
House for sale,939000,3,2,1700,Brooklyn
Multi-family home for sale,1750000,6,3,2146,Brooklyn
House for sale,720000,3,3,2200,Brooklyn
House for sale,1199999,5,3,1728,Brooklyn
House for sale,1199999,5,3,1728,Brooklyn
House for sale,939000,3,2,1700,Brooklyn
Multi-family home for sale,1195000,14,6,5100,Brooklyn
House for sale,975000,3,2,2184,Brooklyn
Townhouse for sale,2995000,7,2,4100,Brooklyn
Multi-family home for sale,1499000,8,3,2636,Brooklyn
House for sale,849000,3,3,1656,Brooklyn
House for sale,1400000,12,4,2184,Brooklyn
House for sale,975000,3,2,2184,Brooklyn
Townhouse for sale,1799000,6,4,3300,Brooklyn
Townhouse for sale,1495000,5,3,2184,Brooklyn
Townhouse for sale,1999000,4,2,2487,Brooklyn
House for sale,949900,3,2,1940,Brooklyn
House for sale,1680000,5,2,1584,Brooklyn
Condo for sale,200000,3,2,2184,Brooklyn
House for sale,1150000,3,2,1600,Brooklyn
Multi-family home for sale,1510000,5,3,2184,Brooklyn
Multi-family home for sale,604200,5,3,2000,Brooklyn
Multi-family home for sale,1739888,8,3,3375,Brooklyn
House for sale,1690000,10,4,2958,Brooklyn
House for sale,1380000,4,2,2520,Brooklyn
Townhouse for sale,1225000,4,4,1821,Brooklyn
Multi-family home for sale,1250000,6,3,3496,Brooklyn
Townhouse for sale,2099000,5,4,3200,Brooklyn
House for sale,1288000,3,2,1692,Brooklyn
Multi-family home for sale,769000,4,3,2184,Brooklyn
House for sale,758000,4,2,1216,Brooklyn
Multi-family home for sale,2100000,8,4,3750,Brooklyn
Multi-family home for sale,3400000,3,8,2184,Brooklyn
House for sale,2300000,6,4,3850,Brooklyn
Multi-family home for sale,1180000,4,3,1528,Brooklyn
House for sale,1175000,7,2,2184,Brooklyn
Multi-family home for sale,849999,4,2,2217,Brooklyn
Multi-family home for sale,3900000,4,4,2184,Brooklyn
Multi-family home for sale,1900000,14,6,2184,Brooklyn
Autre_Type,675000,3,2,2184,Brooklyn
Multi-family home for sale,1195000,3,3,2400,Brooklyn
Multi-family home for sale,2225000,7,5,2184,Brooklyn
House for sale,949000,4,2,2172,Brooklyn
Multi-family home for sale,1388000,4,2,2520,Brooklyn
Multi-family home for sale,2599000,3,6,4662,Brooklyn
House for sale,949000,4,2,2172,Brooklyn
Condo for sale,1300000,2,2,1125,Brooklyn
Condo for sale,1300000,2,2,1125,Brooklyn
House for sale,1299999,6,2,2068,Brooklyn
Multi-family home for sale,1050000,6,4,2134,Brooklyn
House for sale,799000,3,1,2184,Brooklyn
Multi-family home for sale,31500000,3,2,65535,Brooklyn
Multi-family home for sale,1175000,6,3,2184,Brooklyn
Multi-family home for sale,865000,5,3,1720,Brooklyn
Multi-family home for sale,1399995,6,5,2184,Brooklyn
Multi-family home for sale,2599000,8,2,3120,Brooklyn
Multi-family home for sale,1200000,9,2,2184,Brooklyn
House for sale,749000,3,2,2002,Brooklyn
Multi-family home for sale,2000000,8,2,2184,Brooklyn
House for sale,975000,3,2,1400,Brooklyn
House for sale,569000,2,1,840,Brooklyn
Multi-family home for sale,890000,4,3,2184,Brooklyn
House for sale,749000,3,2,2002,Brooklyn
Multi-family home for sale,799000,3,2,2184,Brooklyn
House for sale,799000,3,2,1989,Brooklyn
Multi-family home for sale,2000000,8,2,2184,Brooklyn
Multi-family home for sale,1700000,3,7,7854,Brooklyn
Multi-family home for sale,2999999,15,9,3600,Brooklyn
Condo for sale,315000,2,2,1400,Manhattan
Co-op for sale,3250000,2,2,1300,Manhattan
Condo for sale,2000000,3,2,2000,Manhattan
Condo for sale,559000,1,1,679,Manhattan
Condo for sale,4250000,3,4,2054,Manhattan
Condo for sale,16995000,4,4,3310,Manhattan
Autre_Type,1065000,2,2,2184,Manhattan
Co-op for sale,1050000,1,1,2184,Manhattan
Condo for sale,2800000,2,2,1412,Manhattan
Co-op for sale,629000,1,1,2184,Manhattan
Condo for sale,1995000,1,1,826,Manhattan
Co-op for sale,595000,1,1,2184,Manhattan
Condo for sale,950000,1,1,2184,Manhattan
Co-op for sale,1695000,3,2,2184,Manhattan
Co-op for sale,3950000,2,2,2184,Manhattan
Condo for sale,7750000,3,3,2184,Manhattan
Condo for sale,9975000,3,3,2241,Manhattan
Condo for sale,3995000,3,4,2456,Manhattan
Condo for sale,2795000,2,2,1372,Manhattan
Condo for sale,5200000,2,3,1394,Manhattan
Condo for sale,3995000,3,3,1856,Manhattan
Condo for sale,899500,2,2,2184,Manhattan
Co-op for sale,895000,3,1,2184,Manhattan
Multi-family home for sale,2250000,12,2,5670,Brooklyn
Co-op for sale,4250000,3,2,2400,Manhattan
House for sale,998800,3,4,2400,Staten Island
Co-op for sale,849000,1,1,2184,Manhattan
Co-op for sale,750000,1,1,835,Manhattan
Condo for sale,1900000,2,2,1029,Manhattan
Condo for sale,31000000,3,4,4492,Manhattan
Condo for sale,1650000,2,2,1065,Manhattan
Condo for sale,1650000,2,2,1065,Manhattan
Condo for sale,5750000,3,2,2223,Manhattan
Condo for sale,215000,1,1,625,Manhattan
Condo for sale,325000,2,1,979,Manhattan
Pending,299999,3,1,2184,Manhattan
Condo for sale,499000,1,1,630,Manhattan
Condo for sale,500000,4,3,1794,Manhattan
Co-op for sale,550000,1,1,2184,Manhattan
Autre_Type,65000,3,1,230,Manhattan
Co-op for sale,2375000,1,2,2184,Manhattan
Condo for sale,2250000,1,1,2184,Manhattan
Co-op for sale,695000,2,2,2184,Manhattan
Co-op for sale,1525000,2,2,2184,Manhattan
Co-op for sale,695000,2,2,2184,Manhattan
Co-op for sale,975000,3,1,2184,Manhattan
House for sale,829888,4,2,1800,Staten Island
Co-op for sale,999995,3,2,1750,Manhattan
Co-op for sale,1495000,2,2,1350,Manhattan
Co-op for sale,925000,1,1,1000,Manhattan
Condo for sale,2000000,4,4,3000,Manhattan
Condo for sale,800000,2,2,1257,Manhattan
Co-op for sale,425000,3,1,2184,Manhattan
Condo for sale,1995000,3,2,1546,Manhattan
Co-op for sale,230000,1,1,620,Manhattan
Co-op for sale,1495000,1,2,2184,Manhattan
Co-op for sale,475000,1,1,615,Manhattan
Condo for sale,1100000,1,2,890,Manhattan
Autre_Type,6500000,2,2,2184,Manhattan
Co-op for sale,560000,3,1,550,Manhattan
Condo for sale,1100000,1,2,890,Manhattan
Autre_Type,815000,3,1,2184,Manhattan
Condo for sale,1025000,1,1,800,Manhattan
Condo for sale,1375000,1,2,920,Manhattan
Condo for sale,875000,3,2,1437,Manhattan
Co-op for sale,1465000,3,3,2184,Manhattan
Autre_Type,899000,3,1,1100,Manhattan
Condo for sale,1100000,1,1,726,Manhattan
Autre_Type,325000,2,1,2184,Manhattan
Multi-family home for sale,599000,4,3,1176,Staten Island
Co-op for sale,3950000,3,3,2184,Manhattan
Co-op for sale,3649000,3,2,2184,Manhattan
Condo for sale,850000,2,2,1005,Manhattan
Autre_Type,1100000,2,2,2184,Manhattan
Autre_Type,4000000,3,2,2248,Manhattan
Co-op for sale,1200000,3,2,2184,Manhattan
Co-op for sale,1300000,2,2,2184,Manhattan
Autre_Type,799000,3,1,585,Manhattan
Co-op for sale,339000,3,1,250,Manhattan
Co-op for sale,1799995,2,2,2184,Manhattan
Autre_Type,5999000,3,3,3000,Manhattan
Condo for sale,2265000,2,2,1123,Manhattan
House for sale,1295000,3,4,2193,Manhattan
Autre_Type,9999000,4,6,4531,Manhattan
House for sale,300000,3,1,952,Brooklyn
Autre_Type,975000,1,2,900,Manhattan
Co-op for sale,1649000,2,2,2184,Manhattan
Co-op for sale,149000,3,1,400,Manhattan
Autre_Type,199000,3,2,2184,Queens
Condo for sale,7495000,4,4,2888,Manhattan
Condo for sale,2295000,2,2,1242,Manhattan
Condo for sale,399000,3,1,500,Manhattan
Co-op for sale,275000,3,1,2184,Manhattan
Condo for sale,27750000,7,8,8139,Manhattan
Condo for sale,10500000,3,3,2753,Manhattan
Co-op for sale,738000,3,2,2184,Manhattan
Condo for sale,388000,3,1,2184,Manhattan
Pending,1075000,2,2,955,Manhattan
Co-op for sale,775000,3,1,2184,Manhattan
Pending,1600000,2,2,1100,Manhattan
Co-op for sale,185000,2,1,600,Manhattan
Co-op for sale,875000,2,1,2184,Manhattan
House for sale,899000,2,1,1130,Manhattan
Condo for sale,470000,2,1,2184,Manhattan
Condo for sale,2000000,4,3,2000,Manhattan
Condo for sale,50000000,6,6,6569,Manhattan
Co-op for sale,500000,2,2,2184,Manhattan
Multi-family home for sale,499000,3,2,1445,Staten Island
Co-op for sale,785000,1,1,2184,Manhattan
Co-op for sale,750000,3,2,1750,Manhattan
Co-op for sale,299000,3,1,640,Manhattan
Co-op for sale,279000,3,1,550,Manhattan
Co-op for sale,17900000,6,4,2184,Manhattan
Condo for sale,2795000,2,2,965,Manhattan
Multi-family home for sale,1590000,5,6,2184,Queens
Co-op for sale,149000,1,1,375,Manhattan
Co-op for sale,260000,2,1,2184,Manhattan
Condo for sale,2245000,2,3,1724,Manhattan
Co-op for sale,325000,3,1,622,Manhattan
Co-op for sale,1900000,3,2,2200,Manhattan
House for sale,6800000,7,2,5130,Staten Island
Condo for sale,8995000,5,4,4373,Manhattan
Condo for sale,2150000,3,1,750,Manhattan
Condo for sale,595000,1,1,750,Manhattan
House for sale,395000,3,1,430,Manhattan
Co-op for sale,325000,2,1,750,Manhattan
Condo for sale,3895000,3,3,1884,Manhattan
Co-op for sale,639000,1,1,2184,Manhattan
Co-op for sale,549000,1,1,2184,Manhattan
Co-op for sale,549000,1,1,2184,Manhattan
Co-op for sale,580000,1,1,2184,Manhattan
Co-op for sale,999000,2,2,2184,Manhattan
Co-op for sale,545000,1,1,2184,Manhattan
Condo for sale,295000,3,1,2184,Manhattan
Co-op for sale,310000,2,1,2184,Manhattan
Co-op for sale,479000,1,1,2184,Manhattan
Condo for sale,495000,2,1,766,Manhattan
Co-op for sale,525000,3,1,2184,Manhattan
Co-op for sale,1275000,1,1,1000,Manhattan
Co-op for sale,895000,2,2,2184,Manhattan
Co-op for sale,950000,2,1,1000,Manhattan
Condo for sale,1395000,2,2,1793,Manhattan
Co-op for sale,499000,2,1,686,Manhattan
House for sale,1625000,4,4,2743,Manhattan
House for sale,799000,5,4,1802,Brooklyn
Co-op for sale,850000,1,1,2184,Manhattan
Co-op for sale,999000,2,1,1050,Manhattan
Condo for sale,60000,3,1,445,Manhattan
Co-op for sale,999000,2,1,2184,Manhattan
Co-op for sale,999000,3,2,2184,Manhattan
House for sale,879000,2,1,1000,Manhattan
Co-op for sale,999995,2,1,2184,Manhattan
Condo for sale,600000,3,1,441,Manhattan
Co-op for sale,435000,3,1,2184,Manhattan
Co-op for sale,370000,3,1,2184,Manhattan
Co-op for sale,299000,1,1,2184,Manhattan
Co-op for sale,1395000,3,3,1750,Manhattan
Co-op for sale,495000,1,1,2184,Manhattan
Condo for sale,1989000,2,2,1274,Manhattan
Co-op for sale,369000,1,1,900,Bronx
Condo for sale,2200000,3,4,1779,Manhattan
Co-op for sale,60000000,8,8,2184,Manhattan
